Modelo,Estrategia,CV Precision media,CV Recall media,CV F1 media,CV F1 desviación,CV ROC-AUC media,Tiempo CV total (s),Variación F1 vs base,Variación Recall vs base
Regresión Logística,SMOTE,0.6471509125952584,0.7513883746760459,0.6948515292090102,0.024986519131895923,0.8196501308999432,0.11561775207519531,0.01934622507266548,0.11751203258052578
Regresión Logística,class_weight='balanced',0.6375845635279619,0.762347278785635,0.694098233208292,0.022399538201090176,0.8196729165125346,0.22779035568237305,0.018592929071947317,0.1284709366901149
Support Vector Classifier,class_weight='balanced',0.638019934368014,0.7433172898926323,0.6858890618497913,0.028618839834695913,0.7967329539387339,0.0689077377319336,0.03697239637861216,0.15579415031469834
Support Vector Classifier,SMOTE,0.6450191020863705,0.729618659755646,0.6844040600125813,0.02856250089961259,0.7968968431881065,0.09529733657836914,0.03548739454140215,0.142095520177712
Regresión Logística,Sin balanceo,0.7240178571428572,0.6338763420955201,0.6755053041363447,0.04097003839093353,0.819925812555458,0.04291176795959473,0.0,0.0
Support Vector Classifier,Sin balanceo,0.7283211875843454,0.587523139577934,0.6489166654711791,0.027354186384143036,0.7945530152020271,0.06263566017150879,0.0,0.0
Random Forest,SMOTE,0.6443772170353249,0.6392817475009256,0.6402555024354842,0.021273841394126622,0.7789470431462264,0.7461676597595215,0.023527273246110147,0.05190670122176966
Random Forest,Sin balanceo,0.6519643859742933,0.5873750462791559,0.6167282291893741,0.020667829455251325,0.7787201388377313,0.6550734043121338,0.0,0.0
Random Forest,class_weight='balanced',0.6456592625013677,0.5791188448722695,0.6095122269035312,0.024705091336009576,0.7818552342654693,0.6692390441894531,-0.0072160022858428485,-0.008256201406886432
