Modelo,Versión,CV Precision media,CV Recall media,CV F1 media,CV F1 desviación,CV ROC-AUC media,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC
Support Vector Classifier,Optimizado + SMOTE,0.647653600500686,0.7650499814883377,0.7006409149457176,0.02468064184335992,0.8203678750599632,0.7125,0.6055045871559633,0.717391304347826,0.6567164179104478,0.7871621621621621
Regresión Logística,Optimizado + SMOTE,0.6495605511494753,0.7541281007034432,0.6974156317731127,0.027732142865412344,0.819282594908457,0.7291666666666666,0.6285714285714286,0.717391304347826,0.6700507614213198,0.7926703877790834
Random Forest,Optimizado + SMOTE,0.6430503461811046,0.7130692336171789,0.676116067426946,0.025503030162402553,0.7998081758321586,0.6916666666666667,0.59,0.6413043478260869,0.6145833333333334,0.7572708578143361
Regresión Logística,Base sin balanceo,0.7240178571428572,0.6338763420955201,0.6755053041363447,0.04097003839093353,0.819925812555458,0.7166666666666667,0.6666666666666666,0.5217391304347826,0.5853658536585366,0.7932579318448884
Support Vector Classifier,Base sin balanceo,0.7283211875843454,0.587523139577934,0.6489166654711791,0.027354186384143036,0.7945530152020271,0.7,0.6515151515151515,0.4673913043478261,0.5443037974683544,0.7817273795534665
AdaBoost,Base sin balanceo,0.6996628840272104,0.5844872269529804,0.6355508079305057,0.056695527397457784,0.8011039302360544,0.6958333333333333,0.6557377049180327,0.43478260869565216,0.5228758169934641,0.7662676263219742
Random Forest,Base sin balanceo,0.6519643859742933,0.5873750462791559,0.6167282291893741,0.020667829455251325,0.7787201388377313,0.6916666666666667,0.6323529411764706,0.4673913043478261,0.5375,0.7391671562867216
K-Nearest Neighbors,Base sin balanceo,0.6500181903331057,0.5545353572750833,0.597216947717018,0.04700360071187945,0.7335831836483989,0.7,0.6388888888888888,0.5,0.5609756097560976,0.7207329612220916
Árbol de Decisión,Base sin balanceo,0.5285654751686234,0.5409848204368751,0.534156165625892,0.01717345729330864,0.6206704475350591,0.6166666666666667,0.5,0.4891304347826087,0.4945054945054945,0.5925381903642774
