Modelo,CV Accuracy media,CV Precision media,CV Recall media,CV F1 media,CV F1 desviación,CV ROC-AUC media,Tiempo CV total (s),Tiempo ajuste final (s),Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Test PR-AUC,Predicciones positivas test
Regresión Logística,0.76875,0.7240178571428572,0.6338763420955201,0.6755053041363447,0.04097003839093353,0.819925812555458,0.042191505432128906,0.008135538000260567,0.7166666666666667,0.6666666666666666,0.5217391304347826,0.5853658536585366,0.7932579318448884,0.704426171802495,72
Support Vector Classifier,0.7583333333333333,0.7283211875843454,0.587523139577934,0.6489166654711791,0.027354186384143036,0.7945530152020271,0.0659177303314209,0.015328747000239673,0.7,0.6515151515151515,0.4673913043478261,0.5443037974683544,0.7817273795534665,0.6719250887920081,66
AdaBoost,0.7447916666666667,0.6996628840272104,0.5844872269529804,0.6355508079305057,0.056695527397457784,0.8011039302360544,0.2917904853820801,0.05929504799996721,0.6958333333333333,0.6557377049180327,0.43478260869565216,0.5228758169934641,0.7662676263219742,0.6806969612848535,61
Random Forest,0.7208333333333334,0.6519643859742933,0.5873750462791559,0.6167282291893741,0.020667829455251325,0.7787201388377313,0.6655826568603516,0.1431091300000844,0.6916666666666667,0.6323529411764706,0.4673913043478261,0.5375,0.7391671562867216,0.5843430380392003,68
K-Nearest Neighbors,0.715625,0.6500181903331057,0.5545353572750833,0.597216947717018,0.04700360071187945,0.7335831836483989,0.027014732360839844,0.0050747499999488355,0.7,0.6388888888888888,0.5,0.5609756097560976,0.7207329612220916,0.5616487631482269,72
Árbol de Decisión,0.6395833333333333,0.5285654751686234,0.5409848204368751,0.534156165625892,0.01717345729330864,0.6206704475350591,0.037264347076416016,0.007389504999991914,0.6166666666666667,0.5,0.4891304347826087,0.4945054945054945,0.5925381903642774,0.44039855072463774,90
