Modelo,Mejores parámetros,CV Accuracy media,CV Precision media,CV Recall media,CV F1 media,CV F1 desviación,CV ROC-AUC media,Train F1 media,Brecha Train-CV F1,Tiempo búsqueda (s),Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC
Support Vector Classifier,"{""model__C"": 1, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",0.75,0.647653600500686,0.7650499814883377,0.7006409149457176,0.02468064184335992,0.8203678750599632,0.7071532276875783,0.006512312741860704,4.294122444000095,0.7125,0.6055045871559633,0.717391304347826,0.6567164179104478,0.7871621621621621
Regresión Logística,"{""model__C"": 10, ""model__solver"": ""liblinear""}",0.75,0.6495605511494753,0.7541281007034432,0.6974156317731127,0.027732142865412344,0.819282594908457,0.6979472144485493,0.000531582675436626,2.2386874929998157,0.7291666666666666,0.6285714285714286,0.717391304347826,0.6700507614213198,0.7926703877790834
Random Forest,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}",0.7395833333333333,0.6430503461811046,0.7130692336171789,0.676116067426946,0.025503030162402553,0.7998081758321586,0.7613562162734187,0.08524014884647269,5.261300103999929,0.6916666666666667,0.59,0.6413043478260869,0.6145833333333334,0.7572708578143361
